LicensePlate;Model;Seats;Motortype
BE-BKH-483;Volvo XC60;7;Hybrid
BE-GDS-480;Nissan Leaf;5;Gasoline
BE-HQQ-356;Volvo V60;7;Hybrid
BE-HXQ-717;BMW X5;7;Diesel
BE-IAY-253;Fiat 500;5;Gasoline
BE-LIG-690;Tesla Model 3;5;Gasoline
BE-LJQ-650;Renault Clio;7;Hybrid
BE-OQA-395;Tesla Model 3;4;Electric
BE-QAP-770;Volvo V60;4;Diesel
BE-RPL-692;Peugeot 208;5;Electric
BE-RTF-338;Audi A4;7;Diesel
BE-WDW-599;Seat Leon;4;Diesel
DE-ASE-228;Ford Fiesta;7;Diesel
DE-CUH-400;Peugeot 208;4;Electric
DE-DIY-159;Audi A4;4;Gasoline
DE-DMU-867;Skoda Octavia;7;Diesel
DE-GCH-980;Volvo V60;7;Hybrid
DE-KEM-530;Mercedes-Benz E-Class;5;Gasoline
DE-NYO-214;Renault Clio;4;Gasoline
DE-PJO-302;Nissan Leaf;5;Diesel
DE-TNU-335;Fiat 500;5;Gasoline
DE-UEY-591;Seat Leon;4;Hybrid
DE-UTC-095;Audi A4;5;Gasoline
DE-WQD-723;Volvo V60;5;Hybrid
DK-BTU-335;Renault Clio;5;Hybrid
DK-CKF-012;Mercedes-Benz E-Class;5;Gasoline
DK-DLL-500;Audi A4;5;Hybrid
DK-EHC-726;Volvo V60;5;Diesel
DK-ETD-569;Tesla Model 3;4;Hybrid
DK-HTF-133;Renault Clio;4;Gasoline
DK-IBP-259;Mercedes-Benz E-Class;7;Gasoline
DK-JBZ-117;Renault Clio;4;Electric
DK-JKB-393;Renault Clio;7;Hybrid
DK-JWG-113;Volkswagen Golf;5;Gasoline
DK-LEF-963;Volvo XC60;7;Gasoline
DK-LZG-550;Audi A4;4;Hybrid
DK-MJY-396;Tesla Model 3;5;Hybrid
DK-OFT-971;Fiat 500;7;Hybrid
DK-OIM-335;Renault Clio;5;Gasoline
DK-ORR-310;Volvo XC60;7;Electric
DK-PVL-094;Mercedes-Benz E-Class;4;Hybrid
DK-RMX-061;Peugeot 208;5;Electric
DK-SCT-733;Seat Leon;7;Gasoline
DK-VTY-201;Skoda Octavia;7;Gasoline
DK-WHK-172;Volkswagen Golf;7;Electric
ES-AXV-488;Renault Clio;4;Diesel
ES-BLS-168;Skoda Octavia;5;Gasoline
ES-DHW-875;Audi A4;4;Diesel
ES-DTT194;Tesla Model 3;5;Electric
ES-EDZ-148;Ford Fiesta;100;Electric
ES-ESN-852;Nissan Leaf;5;Electric
ES-EYE-766;Toyota Corolla;5;Diesel
ES-FYW-310;Seat Leon;5;Diesel
ES-JGK-044;Skoda Octavia;5;Hybrid
ES-LCH-096;Toyota Corolla;7;Hybrid
ES-LRL-071;Volkswagen Golf;7;Electric
ES-MLZ-640;Volkswagen Golf;5;Diesel
ES-MMC-612;Seat Leon;4;Gasoline
ES-QUP-220;Nissan Leaf;7;Gasoline
ES-RJI-379;Fiat 500;7;Hybrid
ES-UFJ-440;Peugeot 208;5;Gasoline
ES-XNN-766;Volkswagen Golf;4;Electric
FI-BYZ-030;Fiat 500;7;Electric
FI-CHR-262;Peugeot 208;7;Diesel
FI-EGU-845;Fiat 500;7;Gasoline
FI-EJU-599;Volkswagen Golf;4;Electric
FI-FIW-285;Fiat 500;5;Electric
FI-QBQ-783;BMW X5;4;Gasoline
FI-SUO-178;Audi A4;4;Hybrid
FI-TZG-628;Skoda Octavia;7;Hybrid
FI-UOA-976;Volvo V60;5;Gasoline
FI-VEG-510;Skoda Octavia;7;Hybrid
FI-VEQ-712;Seat Leon;7;Electric
FI-WCM-210;Fiat 500;4;Diesel
FI-WSM-901;Tesla Model 3;7;Hybrid
FI-WXO-949;Renault Clio;4;Gasoline
FI-ZHK-509;Peugeot 208;5;Gasoline
FR-BHK-011;Nissan Leaf;4;Diesel
FR-BVF-943;Renault Clio;7;Electric
FR-CMD-924;Toyota Corolla;5;Hybrid
FR-ERO-229;BMW X5;7;Electric
FR-FSU-562;BMW X5;4;Hybrid
FR-FZT-196;BMW X5;4;Electric
FR_GZX-442;Renault Clio;7;Hybrid
FR-HHR-330;Renault Clio;4;Hybrid
FR-SCR-958;BMW X5;5;Diesel
FR-UAZ-668;Audi A4;4;Electric
FR-VBG-818;Peugeot 208;4;Gasoline
FR-VRS-081;Mercedes-Benz E-Class;4;Diesel
FR-WRP-897;Nissan Leaf;0;Electric
IT-DWQ-696;Fiat 500;5;Gasoline
IT-FBD-557;Tesla Model 3;4;Diesel
IT-GDW-287;Peugeot 208;7;Hybrid
ITA-HFC-582;Toyota Corolla;7;Electric
IT-KMR-757;Mercedes-Benz E-Class;7;Diesel
IT-KNH-464;Mercedes-Benz E-Class;7;Diesel
IT-MMJ-124;Toyota Corolla;5;Gasoline
IT-PZS-161;Tesla Model 3;5;Electric
IT-QQF-960;Toyota Corolla;5;Hybrid
IT-TFB-104;Toyota Corolla;7;Gasoline
IT-ZGV-294;Renault Clio;5;Gasoline
NL-FYB-179;Renault Clio;7;Hybrid
NL-GBB-223;Volvo XC60;7;Gasoline
NL-NHS-591;Ford Fiesta;4;Electric
NL-PCB-353;Volvo V60;7;Diesel
NL-PRN-604;Skoda Octavia;4;LPG
NL-RXR-088;BMW X5;7;Diesel
NL-TXU-374;Nissan Leaf;5;Hybrid
NL-VDZ-429;Seat Leon;4;Electric
NL-VMG-095;Peugeot 208;5;Gasoline
NL-ZIW-390;Volvo XC60;5;Gasoline
PT-AUP-146;Volvo V60;7;Hybrid
PT-DEA-956;Volkswagen Golf;4;Hybrid
PT-DFQ-174;Tesla Model 3;4;Gasoline
PT-EOP-869;Nissan Leaf;5;Diesel
PT-FUL-933;Volvo V60;4;Electric
PT-GNO-564;Mercedes-Benz E-Class;5;Diesel
PT-IDZ-093;Renault Clio;5;Diesel
PT-KCF-915;Ford Fiesta;4;Hybrid
PT-KGX-931;Volkswagen Golf;4;Diesel
PT-LJX-099;Renault Clio;5;Gasoline
PT-LYC-491;Fiat 500;7;Diesel
PT-UHA-886;Mercedes-Benz E-Class;5;Electric
PT-UQT-257;Fiat 500;5;Electric
PT-UYU-053;Ford Fiesta;7;Hybrid
PT-VPC-298;Renault Clio;7;Diesel
PT-VQI-759;Fiat 500;7;Electric
PT-WHE-851;Volvo V60;5;Hybrid
PT-ZQK-689;Nissan Leaf;7;Diesel
SE-AGO-183;BMW X5;5;Electric
SE-BCB-377;Ford Fiesta;5;Diesel
SE-DJY-070;Volvo V60;7;Electric
SE-FLP-858;Nissan Leaf;7;Diesel
SE-FYQ-178;Tesla Model 3;4;Electric
SE-GGO-984;Nissan Leaf;7;Hybrid
SE-GNU--816;Seat Leon;5;Diesel
SE-GRJ-600;;4;Electric
SE-JRI-685;Fiat 500;7;Hybrid
SE-JUE-805;Volvo XC60;5;Hybrid
SE-KDP-929;Nissan Leaf;5;Diesel
SE-NSH-000;Toyota Corolla;4;Diesel
SE-NVI-965;Seat Leon;4;Electric
SE-QIF-053;BMW X5;4;Hybrid
SE-RSF-535;Fiat 500;5;Hybrid
SE-UZC-355;Mercedes-Benz E-Class;4;Electric
SE-VTP-725;Seat Leon;7;Diesel
SE-VXN-880;Nissan Leaf;4;Hybrid
SE-VZJ-586;Seat Leon;5;Diesel
SE-YKW-418;Seat Leon;4;Gasoline
SE-ZJI-699;Ford Fiesta;4;Electric
